life_expectancy,adult_mortality,infant_deaths,alcohol,hepatitis_b,measles,bmi,under_five_deaths,polio,total_expenditure,diphtheria,hiv_aids,gdp,thinness_1_19_years,thinness_5_9_years,income_composition_of_resources,schooling
65,263,4.143134726391533,0.01,65,7.051855622955894,19.1,4.430816798843313,6,8.16,65,0.1,6.370344737094463,17.2,17.3,0.479,10.1
77.8,74,0,4.6,99,0,58,0,99,6,99,0.1,8.282540622202099,1.2,1.3,0.762,14.2
75.6,19,3.091042453358316,0.01,95,4.1588830833596715,59.5,3.2188758248682006,95,7.21,95,0.1,8.326701450175891,6,5.8,0.743,14.4
76.4,13,0,8.56,99,0,47.7,0,86,5.54,99,0.2,9.515392269270327,3.3,3.3,0.784,13.9
76.3,116,2.1972245773362196,7.93,94,0,62.8,2.302585092994046,93,4.79,94,0.1,9.508006705398568,1,0.9,0.826,17.3
74.8,118,0.6931471805599453,3.91,94,3.5263605246161616,54.9,0.6931471805599453,96,4.48,94,0.1,5.912569532249685,2.1,2.2,0.741,12.7
82.8,59,0.6931471805599453,9.71,93,4.31748811353631,66.6,0.6931471805599453,93,9.42,93,0.1,10.942958066509718,0.6,0.6,0.937,20.4
81.5,65,0,12.32,93,5.736572297479192,57.6,0,93,11.21,93,0.1,10.684323832463337,1.9,2.1,0.892,15.9
72.7,118,1.791759469228055,0.01,96,0,52.5,1.9459101490553132,98,6.4,96,0.1,4.013022786890177,2.8,2.9,0.758,12.7
76.9,69,0,1.57,98,0,63.6,0,98,4.98,98,0.1,10.029630138032593,6.2,6.1,0.823,14.5
71.8,129,4.532599493153256,0.01,97,5.484796933490655,18.3,4.736198448394496,97,2.82,97,0.1,4.797096469366482,17.9,18.3,0.575,10.2
75.5,98,0,8.82,97,0,54.5,0,97,7.47,97,0.1,9.652319848490695,3.8,3.7,0.794,15.3
72.3,196,0,13.94,99,1.0986122886681098,62.3,0,99,5.69,99,0.1,8.690998045504262,1.9,2,0.798,15.6
81.1,74,0,12.6,98,3.871201010907891,63.7,0.6931471805599453,99,1.59,99,0.1,8.379510336240664,1,1,0.895,16.6
71,175,0,6.58,94,0,5.9,0,94,5.79,94,0.2,8.48673346743655,3.5,3.4,0.706,12.8
60,249,3.258096538021482,0.01,82,4.02535169073515,25.7,3.6888794541139363,78,4.59,82,1,6.664342576816554,6.9,6.8,0.481,10.7
69.8,211,0,0.01,99,2.4849066497880004,24.5,0,98,3.57,99,0.5,7.868501145491006,15.4,16,0.604,12.5
77.4,88,0,4.03,82,7.425357887027151,55.8,0,74,9.57,82,0.1,8.428357321961078,2.3,2.3,0.747,14.2
65.7,256,1.0986122886681098,0.01,95,0,37.9,1.0986122886681098,96,5.41,95,2.2,8.78456811232088,6.4,6.1,0.698,12.6
75,142,3.7612001156935624,7.32,96,5.3706380281276624,56.1,3.871201010907891,98,8.32,96,0.1,9.077638600834856,2.7,2.6,0.754,15.2
77.7,78,0,0.01,99,1.6094379124341003,41.2,0,99,2.65,99,0.1,8.285991031563377,5.7,5.1,0.864,14.9
74.5,137,0,12.03,92,0,65.7,0.6931471805599453,91,8.44,91,0.1,8.852733187922347,1.9,1.8,0.792,15
59.9,26,3.6635616461296463,0.01,91,4.605170185988092,19.4,4.127134385045092,91,4.96,91,0.6,6.42258477193045,8,7.5,0.399,7.7
59.6,288,3.091042453358316,0.01,94,2.302585092994046,18.7,3.4657359027997265,94,7.54,94,0.7,3.5169405010663923,7.3,7.2,0.406,10.6
73.3,114,0,0.01,96,0,31.3,0,93,4.76,93,0.2,7.990955904724466,6.6,6.6,0.646,13.5
68.7,174,2.3978952727983707,0.01,89,0,19.6,2.5649493574615367,87,5.68,89,0.2,7.0589213120363175,1.9,1.9,0.558,10.9
57.3,357,3.828641396489095,0.01,84,7.501082124259871,29,4.23410650459726,83,4.1,84,3.5,7.12643240746338,5.6,5.5,0.514,10.4
82.2,64,1.0986122886681098,8.1,55,5.278114659230517,67,1.0986122886681098,91,1.45,91,0.1,10.676271450674475,0.6,0.5,0.919,16.3
52.5,397,2.772588722239781,0.01,47,5.017279836814924,22.7,3.091042453358316,47,4.2,47,4.4,5.853297905438713,8.2,8.2,0.347,7.1
53.1,356,3.8501476017100584,0.01,46,6.037870919922137,19.1,4.356708826689592,52,3.62,46,2.8,6.65576044199,8.5,8.4,0.394,7.3
85,82,1.0986122886681098,7.16,97,2.302585092994046,63.8,1.0986122886681098,96,7.79,96,0.1,9.521731138983359,0.8,0.8,0.845,16.3
76.1,85,5.062595033026967,5.78,99,10.654007012953944,32.9,5.214935757608986,99,5.55,99,0.1,6.767586982756434,3.6,2.9,0.734,13.5
74.8,143,2.3978952727983707,4.38,91,0.6931471805599453,57.9,2.5649493574615367,91,7.2,91,0.1,6.468514474036859,2.1,1.9,0.724,13.6
63.5,227,0.6931471805599453,0.01,91,0,24.2,1.0986122886681098,92,6.75,91,0.8,6.589815197772898,6.7,6.5,0.498,11.1
79.6,95,0.6931471805599453,3.45,92,0,6.5,0.6931471805599453,92,9.31,92,0.1,7.044349365517935,1.7,1.7,0.775,14.2
78,95,0,12.14,94,5.332718793265369,63.7,0,94,7.8,94,0.1,9.357006028780134,1.5,1.4,0.823,15.3
79.1,92,0.6931471805599453,4.37,99,0,61.4,0.6931471805599453,99,11.6,99,0.1,6.63628930271645,3.5,3.3,0.773,13.9
85,52,0,0.01,97,0,6.3,0,97,7.37,97,0.1,7.77280016797448,1,1,0.854,14.3
63.5,241,0.6931471805599453,0.38,84,3.871201010907891,35,0.6931471805599453,84,1.57,84,2.1,7.529496289462611,5.6,5.4,0.47,6.3
73.9,152,1.9459101490553132,5.92,81,0,58.9,2.0794415416798357,87,4.38,85,0.3,8.774695138261082,3.3,3.2,0.718,13.2
76.2,118,1.9459101490553132,3.82,78,0,54.2,2.0794415416798357,84,9.16,78,0.1,6.438746738471343,1.2,1.1,0.739,14
73.5,178,1.0986122886681098,2.52,91,0,56.1,1.0986122886681098,92,6.77,91,0.2,8.325334560966596,1.6,1.5,0.678,13.2
64.7,255,1.791759469228055,0.01,95,5.293304824724492,18.6,2.0794415416798357,95,3.34,95,0.4,6.36780208991192,8.4,8.2,0.418,5
77.6,119,0,0.01,91,1.6094379124341003,59.9,0,93,6.38,93,0.1,7.481515757449775,1.9,1.9,0.863,16.5
64.8,225,4.919980925828125,0.01,77,9.783915417395283,17.6,5.272999558563747,75,4.88,77,0.6,6.469969070368511,1.4,1.2,0.441,8.4
69.9,188,0,0.01,99,0,62.7,0,99,4.49,99,0.1,8.501449160026045,4,3.7,0.734,15.3
82.4,78,1.0986122886681098,11.5,86,5.062595033026967,62.5,1.3862943611198906,98,11.54,98,0.1,10.505800725518585,0.7,0.6,0.894,16.3
66,229,1.0986122886681098,0.01,8,3.332204510175204,36.3,1.3862943611198906,79,3.44,8,2.7,8.907745540893803,6.1,5.9,0.694,12.6
74.4,129,0.6931471805599453,6.13,94,6.068425588244111,56.2,0.6931471805599453,91,7.42,94,0.1,8.233409940671926,2.7,2.8,0.768,13.9
81,68,1.0986122886681098,11.03,88,7.80994708647679,62.3,1.3862943611198906,94,11.3,95,0.1,10.625632251148085,1.1,1.1,0.924,17.1
62.4,249,3.6375861597263857,0.01,88,3.1780538303479458,28.6,3.970291913552122,88,3.56,88,0.7,7.216058724348764,6.2,6.1,0.575,11.4
81,72,0,7.53,96,0.6931471805599453,66.5,0,99,8.8,99,0.1,5.2353238379612534,0.8,0.7,0.865,17.2
73.6,142,0,8.42,92,0,48.4,0,99,6.1,92,0.1,9.128283192549558,3.8,3.8,0.751,15.8
71.9,186,2.3978952727983707,1.88,74,0,5.6,2.5649493574615367,9,6.2,74,0.4,8.274758084906251,1.2,1.2,0.637,10.7
59,284,3.295836866004329,0.01,54,5.497168225293202,23.3,3.713572066704308,42,5.64,54,0.5,6.318044552259654,7.3,7.3,0.414,8.8
58.9,275,1.6094379124341003,0.01,87,5.0369526024136295,26.3,1.9459101490553132,87,5.59,87,3.2,6.391702214088995,7.1,7,0.421,9.2
66.2,215,0,7.64,95,0,46.7,0.6931471805599453,92,5.25,95,0.3,8.327651210546172,5.5,5.3,0.638,10.3
63.5,24,2.70805020110221,0.01,6,0,49.9,2.9444389791664403,56,7.56,6,0.5,6.702631387991367,3.9,3.9,0.49,9.1
74.6,147,1.3862943611198906,2.87,97,0,51,1.6094379124341003,97,8.72,97,0.3,7.751973499284905,2.1,2.1,0.623,11.2
68.3,181,6.814542897259958,3.07,87,11.411866794206256,18.7,7.00397413672268,86,4.69,87,0.2,7.385968107854768,26.7,27.3,0.615,11.6
69.1,176,4.74493212836325,0.09,78,9.622450022803015,27.4,4.919980925828125,8,2.85,78,0.3,8.11257778021339,1.4,1.2,0.686,12.9
68.9,182,3.4965075614664802,0.01,56,7.2682230211595655,59.1,3.6635616461296463,63,5.54,58,0.1,8.512033764433736,5.3,5.1,0.649,10.1
81.4,64,0,10.75,95,1.6094379124341003,62.8,0,95,7.78,95,0.1,8.804496792256673,0.3,0.2,0.92,18.6
82.5,58,0,2.62,96,4.394449154672439,64.9,0.6931471805599453,95,7.81,95,0.1,10.483728389430283,1.2,1.1,0.898,16
82.7,56,0.6931471805599453,7.56,93,5.075173815233827,63.6,1.0986122886681098,93,9.25,93,0.1,5.855494612226039,0.6,0.6,0.881,16.3
76.2,125,0.6931471805599453,3.83,91,0,54.2,0.6931471805599453,91,5.36,91,0.5,8.510367923577101,1.8,1.7,0.729,12.8
74.1,112,1.6094379124341003,0.41,99,0,65.6,1.6094379124341003,99,7.45,99,0.1,6.208575438465079,4,4,0.741,13.1
72,198,1.6094379124341003,6.29,98,6.267200548541362,53.1,1.791759469228055,98,4.36,98,0.1,5.075059433692508,2.4,2.5,0.793,15
63.4,249,4.007333185232471,0.01,89,4.564348191467836,22,4.330733340286331,83,5.72,89,2.8,7.207838715653137,7.8,7.6,0.55,11.1
66.3,198,0,0.01,82,0,77.6,0,8,1.21,78,0.1,7.261564648782274,0.1,0.1,0.586,11.9
74.7,81,0,0.01,99,2.9444389791664403,71.4,0.6931471805599453,99,3.4,99,0.1,10.274203094333403,3.5,3.4,0.799,13.3
74.6,153,0,0.01,94,0,61.2,0,95,5.88,95,0.1,9.52270896139,2.2,2.1,0.828,16
74.9,98,0.6931471805599453,1.32,81,3.6888794541139363,66.1,0.6931471805599453,75,6.39,81,0.1,6.741267130783079,4.9,4.9,0.763,13.3
53.7,484,1.6094379124341003,0.01,93,0,32.6,1.9459101490553132,9,1.62,93,9.3,5.158071654675282,5.5,5.3,0.495,10.7
61.4,259,2.1972245773362196,0.01,52,6.966967138613983,27.3,2.4849066497880004,52,1.4,52,0.9,6.114538383981285,6.5,6.4,0.427,9.9
72.7,138,0.6931471805599453,0.01,97,4.418840607796598,64.8,1.0986122886681098,97,4.97,97,0.1,6.332479012883787,5.8,5.5,0.719,13.4
73.6,165,0,15.19,94,3.9318256327243257,62.4,0,93,6.55,93,0.1,9.564682594334315,2.6,2.6,0.846,16.5
82,63,0,11.12,94,0,61.3,0,99,6.94,99,0.1,7.089928741477339,1,0.9,0.896,13.9
65.5,22,3.367295829986474,0.01,69,1.3862943611198906,2.5,3.6635616461296463,71,3.4,69,0.3,3.7342732643402465,7.1,7.1,0.511,10.3
58.3,365,3.295836866004329,0.01,88,0,19.6,3.6635616461296463,88,11.38,88,4.8,5.893458985122605,6.4,6.2,0.473,10.8
75,123,1.6094379124341003,0.52,99,7.1846291527173145,4.6,1.6094379124341003,99,4.17,99,0.1,9.174054395300058,7.5,7.3,0.787,13.1
78.5,61,0,0.01,99,0,27.4,0,99,13.73,99,0.1,9.035485096763798,13.6,13.6,0.701,12.7
58.2,266,3.970291913552122,0.01,64,5.375278407684165,23.8,4.442651256490317,66,6.86,64,1.5,6.592668214027835,7.7,7.5,0.438,8.4
81.7,54,0,8.49,95,1.0986122886681098,69.6,0,97,9.75,97,0.1,10.07825832376405,0.8,0.8,0.853,14.6
63.1,25,2.1972245773362196,0.01,73,0.6931471805599453,3.8,2.5649493574615367,67,3.77,73,0.9,7.054671109431172,7.8,7.5,0.513,8.5
74.6,146,0,0.01,97,0,33.3,0,98,4.81,97,0.1,9.132607695125776,6.9,6.8,0.779,15.2
76.7,122,3.4339872044851463,5.26,82,0,63.5,3.58351893845611,87,6.3,87,0.1,9.120757891877332,1.5,1.5,0.758,13.3
68.8,222,0.6931471805599453,0.01,99,9.921327470664458,52.7,0.6931471805599453,99,4.73,99,0.1,8.279997342424531,2.2,2.3,0.733,14.8
76.1,16,0,0.01,82,0,61.8,0,89,6.42,89,0.1,8.773569185621431,1.8,1.8,0.804,15.1
74.3,95,2.8903717578961645,0.43,99,2.8903717578961645,58.5,3.044522437723423,99,5.91,99,0.1,7.954121387481384,6.4,6.2,0.645,12.1
57.6,355,4.110873864173311,0.01,8,4.382026634673881,22.6,4.406719247264253,8,6.98,8,3.9,6.269688077690441,3.6,3.5,0.414,9.1
66.6,199,3.6888794541139363,0.01,89,1.9459101490553132,23.8,3.9318256327243257,89,2.28,89,0.3,7.085559456096655,12.8,13,0.552,9.1
65.8,248,1.0986122886681098,0.01,92,5.3612921657094255,35.7,1.3862943611198906,92,8.93,92,2.1,8.463300724208914,8.2,8.1,0.637,11.7
69.2,165,2.8903717578961645,0.01,91,7.3777589082278725,19.1,3.091042453358316,9,5.8,91,0.1,6.611725593823366,15.7,16.1,0.555,12.2
81.9,57,0.6931471805599453,0.01,94,2.0794415416798357,62.1,0.6931471805599453,95,1.9,95,0.1,10.698579327557542,1,0.9,0.923,18.1
81.6,66,0,8.7,92,2.3978952727983707,67.5,0,92,11.3,92,0.1,8.248501311749912,0.4,0.3,0.913,19.2
74.8,145,1.0986122886681098,3.55,98,0,54,1.0986122886681098,99,9.4,98,0.1,5.690246231698405,1.8,1.7,0.642,11.7
61.8,22,3.912023005428146,0.01,65,8.94819608331224,19.3,4.477336814478207,65,5.82,65,0.4,5.883314895423994,9.6,9.4,0.351,5.4
54.5,344,6.182084906716632,0.01,49,9.427385364828522,25.4,6.617402977974478,49,3.67,49,3.7,7.884259433600799,9.8,9.7,0.525,10
76.6,99,0.6931471805599453,0.4,99,0,54.6,0.6931471805599453,99,3.55,99,0.1,9.718805070750758,7.1,6.9,0.795,13.7
66.4,161,5.8664680569332965,0.01,72,5.958424693029782,25.4,6.073044534100405,72,2.61,72,0.1,7.266299879523188,19.2,19.6,0.548,8.1
77.8,118,0.6931471805599453,6.74,73,0,57.8,0.6931471805599453,72,8.3,73,0.1,9.482992815779403,1.9,1.8,0.785,13
62.9,275,2.3978952727983707,0.01,67,3.6635616461296463,48.6,2.5649493574615367,74,4.26,73,0.6,7.688325510740589,1.3,1.3,0.515,10
74,146,1.0986122886681098,0.01,93,0,5.2,1.3862943611198906,89,9.81,93,0.2,6.038748157948018,2,1.9,0.692,12.3
75.5,123,2.1972245773362196,0.01,9,1.6094379124341003,55.6,2.3978952727983707,88,5.47,9,0.1,4.148568492265547,1.1,1.1,0.737,13.4
68.5,211,3.970291913552122,4.52,6,6.429719478039138,25.4,4.204692619390966,79,4.71,6,0.1,7.964968451766379,1,9.7,0.679,11.7
77.5,117,1.0986122886681098,10.71,96,0,61.7,1.0986122886681098,92,6.35,98,0.1,9.438749046172655,1.9,2,0.852,16.4
81.1,76,0,9.88,98,2.1972245773362196,61.6,0,98,9.5,98,0.1,7.5614758451926045,0.7,0.5,0.841,16.6
78.2,68,0,1.15,99,2.9444389791664403,69.3,0,99,2.19,99,0.1,11.102646629494721,5.2,4.9,0.855,13.4
75,133,1.0986122886681098,0.01,9,1.6094379124341003,6.7,1.0986122886681098,89,5.57,89,0.1,9.100390295154298,2.5,2.7,0.798,14.7
75,222,2.6390573296152584,10.12,97,6.7381524945959574,6.5,2.772588722239781,97,7.7,97,0.1,9.140915087476484,2.3,2.3,0.805,15
66.1,227,2.4849066497880004,0.01,98,0.6931471805599453,21.4,2.772588722239781,99,7.53,98,0.4,4.26757487695708,5.7,5.7,0.493,10.8
74,125,0,0.01,59,0,74.7,0,61,7.22,66,0.1,8.330710214471805,0.2,0.1,0.702,12.9
67.5,19,0,0.01,96,0,3.9,0,96,8.35,96,0.2,7.393041304016242,5.5,5.3,0.565,11.2
74.5,88,2.0794415416798357,0.09,98,5.393627546352362,68.2,2.1972245773362196,97,4.68,98,0.1,7.913104588233829,7.8,7.6,0.845,16.1
66.7,188,2.995732273553991,0.26,89,4.07753744390572,24.3,3.295836866004329,85,4.66,89,0.3,4.59234443151394,9.5,9.3,0.491,9.5
75.6,121,0.6931471805599453,9.09,94,5.950642552587727,6,0.6931471805599453,95,1.37,95,0.1,8.563552848867172,2,2,0.775,14.4
73.2,168,0,0.01,98,0,37.4,0,97,3.37,97,0.1,7.339189582875486,5.7,6,0.781,14.1
83.1,55,0,1.79,96,0,33.2,0,96,4.92,96,0.1,10.88985899657062,2.2,2.2,0.924,15.4
69.2,177,0,0.01,98,0,5.5,0,99,5.5,98,0.1,7.561336904537684,1.1,1.2,0.514,9.6
62.9,328,3.7612001156935624,7.38,75,2.8903717578961645,51.1,3.970291913552122,75,8.8,75,3.6,8.660387944513946,4.4,5.3,0.665,13
82.8,56,0.6931471805599453,0.01,97,4.7535901911063645,66.6,0.6931471805599453,97,9.3,97,0.1,10.153617499317933,0.6,0.5,0.882,17.7
74.9,138,1.3862943611198906,2.37,99,7.358193752733032,23.4,1.3862943611198906,99,3.5,99,0.1,8.254500592853006,15.1,15,0.764,14
71.6,176,0,6.32,89,0,58.3,0,89,5.69,89,0.4,9.084661787018101,3.5,3.5,0.723,12.7
58.9,373,1.0986122886681098,0.01,9,0,32.3,1.3862943611198906,84,9.25,9,7.1,8.05099833477852,4,4.1,0.541,11.4
82.4,53,0,7.3,67,3.1354942159291497,59.5,0,98,11.93,98,0.1,8.627885989752052,1.5,1.4,0.909,15.9
64.5,293,1.9459101490553132,0.01,41,3.828641396489095,57.1,2.1972245773362196,5,3.25,41,0.1,5.554326479752445,6.3,6.1,0.553,9
69.7,161,2.3978952727983707,0.01,96,1.3862943611198906,4.7,2.4849066497880004,96,6.88,96,0.2,6.8229347595468655,3.6,3.7,0.625,11.3
74.9,148,2.1972245773362196,6.41,99,5.043425116919247,33.6,2.302585092994046,99,4.12,99,0.1,8.668172527960381,7.7,7.7,0.738,13.6
68.3,152,1.0986122886681098,0.01,76,3.784189633918261,17.4,1.0986122886681098,75,1.48,76,0.1,7.057699423733417,1.9,11.1,0.603,12.5
59.9,287,2.6390573296152584,0.01,88,3.044522437723423,24.3,3.044522437723423,88,5.25,88,1,6.311985859306879,6.5,6.2,0.484,12
73.5,133,0,0.01,78,0,75.2,0,8,5.18,78,0.1,6.202080731602399,0.1,0.1,0.718,14.3
71.2,17,0,6.94,9,0,47.1,0,88,5.93,96,0.3,9.759723050068798,5.7,5.9,0.779,12.7
75.3,1,1.3862943611198906,1.39,98,2.833213344056216,61.2,1.3862943611198906,98,7,98,0.1,8.25033698466512,6.5,6.4,0.723,14.6
75.8,16,2.772588722239781,1.45,97,5.8377304471659395,66.1,2.9444389791664403,97,5.41,97,0.1,7.590612544486725,4.9,4.8,0.764,14.5
66.3,215,1.9459101490553132,2.9,99,0,48.6,2.0794415416798357,99,2.7,99,0.1,8.769144780578142,3.3,3.3,0.688,10.8
62.3,291,4.204692619390966,0.01,78,6.171700597410915,18.5,4.543294782270004,82,7.22,78,3.1,6.542322645181152,5.6,5.6,0.488,10
71.3,195,1.6094379124341003,8.06,22,4.663439094112067,61.3,1.791759469228055,51,7.1,23,0.2,7.661368323345366,2.3,2.4,0.748,15.3
77.1,75,0.6931471805599453,1.91,99,5.8522024797744745,64.2,0.6931471805599453,99,3.64,99,0.1,8.271739328141267,5.3,5.1,0.836,13.3
77,116,0,6.03,95,0,64,0,95,8.58,95,0.1,9.650196759890296,1.5,1.4,0.794,15.5
69.4,184,2.772588722239781,0.01,99,3.1354942159291497,44.7,2.8903717578961645,99,5.84,99,0.1,7.667428154316627,3,3.1,0.697,12.1
72,13,0,0.01,64,3.6888794541139363,53.3,0,65,5.2,64,0.1,5.655411712525438,1.5,1.4,0.598,10.8
61.8,33,3.332204510175204,0.01,9,2.302585092994046,23.4,3.713572066704308,9,4.99,9,4.1,7.180747212260535,6.3,6.1,0.576,12.5
